year,tmp,month,tmpLoess,deconID
1924,-2.6,1,0.6327479443873045,255
1925,3.6,1,0.6239764366468279,256
1926,4.4,1,0.6159779288458012,257
1927,0.9,1,0.608033830130509,258
1928,2.5,1,0.5991026007130813,259
1929,-9.6,1,0.5884598244039125,260
1930,-0.2,1,0.5762671847817558,261
1931,-1.2,1,0.5631862039863975,262
1932,-1.9,1,0.5494706354964336,263
1933,0.1,1,0.5351588878974667,264
1934,1.2,1,0.5209033579225704,265
1935,1.9,1,0.5073462543140863,266
1936,0.2,1,0.4947385508429889,267
1937,2.2,1,0.48324644072645384,268
1938,0.9,1,0.4727364812394832,269
1939,1.6,1,0.4634078570529603,270
1940,-4.3,1,0.45530716962302265,271
1941,-0.2,1,0.44823175142599503,272
1942,-5.4,1,0.4415878520601293,273
1943,2.9,1,0.4347641254558159,274
1944,-1.1,1,0.4276281844573555,275
1945,4,1,0.42064388487986726,276
1946,2.4,1,0.41466560460815227,277
1947,-6.6,1,0.4107495941890247,278
1948,0.5,1,0.409441461272257,279
1949,1.7,1,0.41113820630449105,280
1950,3,1,0.4160779290322978,281
1951,1.9,1,0.42415656300430626,282
1952,-0.1,1,0.4349785406414277,283
1953,-0.1,1,0.4480225647030913,284
1954,-3.5,1,0.462517295511109,285
1955,-1.9,1,0.47707914424986697,286
1956,-9.6,1,0.4903555016520613,287
1957,3.8,1,0.5014773027766388,288
1958,1.9,1,0.5097067791542784,289
1959,-0.1,1,0.5146713883436433,290
1960,0.4,1,0.5164029025445522,291
1961,4.4,1,0.5155024457808306,292
1962,0.3,1,0.5128597116107168,293
1963,-5.7,1,0.5090679854976625,294
1964,0.6,1,0.5041270146387875,295
1965,-1.8,1,0.49818187383393564,296
1966,3.5,1,0.4913755323948923,297
1967,2.8,1,0.48390370567848606,298
1968,0.7,1,0.4764362909455109,299
1969,-2.1,1,0.46968461319049837,300
1970,-1.1,1,0.4649842637084305,301
1971,1.4,1,0.46369053676690264,302
1972,2,1,0.46677097133071754,303
1973,1,1,0.474684578538092,304
1974,3.2,1,0.48779242510817644,305
1975,1.4,1,0.5061169792173619,306
1976,0.5,1,0.5292735351600548,307
1977,3,1,0.556870519546873,308
1978,-1.4,1,0.5876485756759493,309
1979,-1.8,1,0.6199026912669936,310
1980,2.1,1,0.6525259827377354,311
1981,-0.4,1,0.6851652969000099,312
1982,-0.1,1,0.717623268816979,313
1983,-1.7,1,0.749642743164884,314
1984,-0.3,1,0.7810010265560692,315
1985,-3.1,1,0.8109984439419549,316
1986,-6.4,1,0.8387149555054663,317
1987,-0.3,1,0.8636854395326878,318
1988,2.1,1,0.8859721737259889,319
1989,3.4,1,0.9065122357642252,320
1990,5.7,1,0.9265621088452463,321
1991,-2.4,1,0.9481888920902861,322
1992,2.8,1,0.9718819291539944,323
1993,-0.7,1,0.9975983668148558,324
1994,-0.2,1,1.0251240503564247,325
1995,4.6,1,1.054250959563106,326
1996,-2.2,1,1.0847959736515804,327
1997,4.1,1,1.116569515435799,328
1998,4.3,1,1.1494203518648618,329
1999,0.4,1,1.1831834517030444,330
2000,3.9,1,1.2176813630807573,331
2001,2.3,1,1.252755279927655,332
2002,5.1,1,1.288243254737722,333
2003,-1.9,1,1.3239828249181045,334
2004,2.4,1,1.359810732450029,335
2005,-1,1,1.395601633665379,336
2006,-0.4,1,1.4312484027783512,337
2007,3.9,1,1.4666796862072715,338
2008,3.7,1,1.5018494171147267,339
2009,0.5,1,1.5366967102608697,340
2010,-0.5,1,1.5711469034091152,341
2011,0.9,1,1.6051446679936703,342
2012,-2.5,1,1.6386658847431477,343
2013,-0.7,1,1.671711783410501,344
2014,4.3,1,1.704327106364417,345
2015,0.7,1,1.736582360214939,346
2016,3.3,1,1.7685296960128767,347
2017,2.9,1,1.8002216078564004,348
1881,2.6,2,2.1681932194318136,351
1882,6,2,2.2127351652036538,352
1883,-1.7,2,2.257143761288944,353
1884,4.7,2,2.3013624230064096,354
1885,2.5,2,2.345348183352499,355
1886,0.4,2,2.389038247543283,356
1887,1.1,2,2.4323644449764146,357
1888,0.7,2,2.4752804979813163,358
1889,0.3,2,2.5177637903268106,359
1890,4.1,2,2.559819758484295,360
1891,2.6,2,2.6014788265941746,361
1892,0.5,2,2.642766239198295,362
1893,4.3,2,2.6837131458989347,363
1894,4.7,2,2.724373001782638,364
1895,1.4,2,2.764793071385924,365
1896,5.3,2,2.8050098743592145,366
1897,5,2,2.8450717249169912,367
1898,2.9,2,2.885013233434208,368
1899,2.6,2,2.9248496349845254,369
1900,0.6,2,2.9645954004931383,370
1901,2.1,2,3.0042793569065225,371
1902,3.4,2,3.043969520596349,372
1903,5.7,2,3.0837735507937367,373
1904,3,2,3.123822407340114,374
1905,4.5,2,3.164247409664455,375
1906,2.2,2,3.2051899007021234,376
1907,2.6,2,3.2467581672928674,377
1908,2.3,2,3.2889456740796206,378
1909,1.5,2,3.3313391015904514,379
1910,3.7,2,3.372520218903432,380
1911,4,2,3.394669312977541,381
1912,6,2,3.4137990885629854,382
1913,6,2,3.430029019744925,383
1914,4.7,2,3.443277823052629,384
